fish_id,condition_id,trial_number,Fish median response / baseline,Contributing rows
20230228_05,control,42,0.9917320693573392,1
20230228_05,control,43,1.0501111107707064,1
20230228_05,control,44,0.9923491774830439,1
20230228_05,control,45,1.0126187510660334,1
20230228_05,control,46,0.9974637231578596,1
20230228_05,control,47,1.0336614334265808,1
20230228_05,control,48,0.9988992631336792,1
20230228_05,control,49,0.9847007010644478,1
20230228_05,control,50,1.047386686870658,1
20230228_05,control,51,1.0013238254409784,1
20230228_05,control,52,0.9884838475821008,1
20230228_05,control,53,0.9779238559218868,1
20230228_05,control,54,1.0184775093825613,1
20230228_05,control,55,1.0666158170920303,1
20230228_05,control,56,1.020941000006297,1
20230228_05,control,57,0.9818188477636277,1
20230228_05,control,58,0.9842158925155635,1
20230228_05,control,59,1.0263161058172126,1
20230228_05,control,60,1.0430445882691148,1
20230228_05,control,61,1.0190497801974385,1
20230228_05,control,62,1.0416077130627952,1
20230228_05,control,63,1.0506430987925908,1
20230228_05,control,64,0.9913791621391678,1
20230228_05,control,65,1.0392047030724723,1
20230228_05,control,66,1.0310518378594566,1
20230228_05,control,67,1.0026686714407815,1
20230228_05,control,68,1.0554828518962394,1
20230228_05,control,69,1.0361489217319837,1
20230228_05,control,70,1.0243871729391267,1
20230228_05,control,71,1.0020615629119676,1
20230228_05,control,72,1.0082391938095991,1
20230228_05,control,73,0.9769474920601947,1
20230228_05,control,74,0.9879272639113937,1
20230228_05,control,75,0.9829645853268382,1
20230228_05,control,76,0.9863455616827608,1
20230228_05,control,77,1.0052184728524585,1
20230228_05,control,78,1.0054999786666514,1
20230228_05,control,79,0.9269834387826528,1
20230228_05,control,80,1.0027066037494854,1
20230228_05,control,81,0.9602816604909539,1
20230228_05,control,82,1.0088225393679835,1
20230228_05,control,83,0.9621213823376132,1
20230228_05,control,84,1.0724870694973299,1
20230228_05,control,85,0.9703887987925942,1
20230228_05,control,86,0.9866913836313529,1
20230228_05,control,87,0.9548104243063341,1
20230228_05,control,88,0.9720436439379192,1
20230228_05,control,89,0.9487198240590334,1
20230228_05,control,90,0.9829105727380184,1
20230228_05,control,91,1.0109415677664888,1
20230228_05,control,92,0.9606439974383606,1
20230228_05,control,93,0.9848056766929396,1
20230228_05,control,94,0.9861328111657431,1
20230228_08,control,5,1.0037225427299492,1
20230228_08,control,6,0.9850877381126274,1
20230228_08,control,7,1.044247966261358,1
20230228_08,control,8,1.03577157506131,1
20230228_08,control,9,0.9800698556465097,1
20230228_08,control,10,0.9982264114211735,1
20230228_08,control,11,0.966514637419395,1
20230228_08,control,12,1.0074903627063776,1
20230228_08,control,13,1.0067376934114731,1
20230228_08,control,14,1.0271101737214143,1
20230228_08,control,15,0.9607563400447372,1
20230228_08,control,16,1.1361577738794904,1
20230228_08,control,17,0.9868651986071333,1
20230228_08,control,18,0.989411135244046,1
20230228_08,control,19,1.1619350086574491,1
20230228_08,control,20,0.9782368675143644,1
20230228_08,control,21,1.02583060084094,1
20230228_08,control,22,1.0860500272242337,1
20230228_08,control,23,0.8667582538924057,1
20230228_08,control,24,1.0171091610232297,1
20230228_08,control,25,1.0053094951430643,1
20230228_08,control,26,0.9965736282808056,1
20230228_08,control,27,1.060561366492683,1
20230228_08,control,28,1.1619392501859482,1
20230228_08,control,29,1.0083250496631901,1
20230228_08,control,30,1.0957588386325254,1
20230228_08,control,31,1.1203454701265803,1
20230228_08,control,32,0.9761234955104894,1
20230228_08,control,33,1.0353423774251973,1
20230228_08,control,34,0.9777813819158409,1
20230228_08,control,35,0.9744399470200891,1
20230228_08,control,36,1.0434312829149168,1
20230228_08,control,37,0.967754856442871,1
20230228_08,control,38,1.0080902722307405,1
20230228_08,control,39,0.9861655085030219,1
20230228_08,control,40,1.018758258938721,1
20230228_08,control,41,0.9956130151480886,1
20230228_08,control,42,0.9703913063586281,1
20230228_08,control,43,0.9856202703705667,1
20230228_08,control,44,1.04612918532382,1
20230228_08,control,45,0.9054181021977359,1
20230228_08,control,46,1.0434225875268883,1
20230228_08,control,47,0.9864264477167862,1
20230228_08,control,48,1.0519967707502866,1
20230228_08,control,49,1.0194532107428822,1
20230228_08,control,50,1.0801646636011235,1
20230228_08,control,51,0.999935855466158,1
20230228_08,control,52,1.004473415618008,1
20230228_08,control,53,0.9908139759816876,1
20230228_08,control,54,1.0216886185494332,1
20230228_08,control,55,1.1114896641373686,1
20230228_08,control,56,1.2539873466002274,1
20230228_08,control,57,1.0021095798454056,1
20230228_08,control,58,1.1147785212897785,1
20230228_08,control,59,1.1398811986549735,1
20230228_08,control,60,1.0287703739859253,1
20230228_08,control,61,0.9310166717482748,1
20230228_08,control,62,1.00064074902431,1
20230228_08,control,63,1.053628694544835,1
20230228_08,control,64,0.9278868579421206,1
20230228_08,control,65,1.0699035871725466,1
20230228_08,control,66,1.0639214257251772,1
20230228_08,control,67,1.012357476215927,1
20230228_08,control,68,1.0127752607691445,1
20230228_08,control,69,0.9430454514976578,1
20230228_08,control,70,0.9980927843203672,1
20230228_08,control,71,1.0220981565886387,1
20230228_08,control,72,0.9523357590408562,1
20230228_08,control,73,1.0416531217054925,1
20230228_08,control,74,0.8383425023874672,1
20230228_08,control,75,0.9820466301404249,1
